01060735000173,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RS,PELOTAS
95390258000158,"Comércio a varejo de automóveis, camionetas e utilitários usados",PR,LONDRINA
04082624002019,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RO,PORTO VELHO
21994956000126,Comércio varejista de gás liqüefeito de petróleo (GLP),SP,PARAGUACU PAULISTA
13316295000151,Sem descrição,"",""
11920233000129,Comércio varejista de combustíveis para veículos automotores,GO,RIO VERDE
23642684000120,Comércio varejista de artigos de papelaria,RS,SANTO ANTONIO DA PATRULHA
71126114000120,Sem descrição,MG,SETE LAGOAS
09222181000175,Restaurantes e similares,MG,OLIVEIRA
21127666000185,Comércio varejista de produtos saneantes domissanitários,RS,CAXIAS DO SUL
07838029000277,Sem descrição,"",""
01248011000158,Comércio atacadista de material elétrico,SP,RIBEIRAO PRETO
10876085000120,Comércio varejista de combustíveis para veículos automotores,MS,DOURADOS
02120617000176,Comércio varejista de outros produtos não especificados anteriormente,BA,JUAZEIRO
01753998000168,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",BA,GUANAMBI
14373725000130,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",RJ,RIO DE JANEIRO
11740344000153,Comércio varejista de combustíveis para veículos automotores,PR,GUAIRA
77593564000533,Comércio varejista de materiais de construção em geral,PR,FRANCISCO BELTRAO
12963321000170,Comércio a varejo de peças e acessórios novos para veículos automotores,RJ,RESENDE
21753026000180,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,RJ,NITEROI
39082755000118,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios (Não dispensada *)",RJ,RIO DE JANEIRO
01818465000117,Comércio varejista de produtos saneantes domissanitários,DF,BRASILIA
03421307000154,Atividades veterinárias,MG,BELO HORIZONTE
04587487000101,Comércio varejista de materiais de construção em geral,RS,FAXINAL DO SOTURNO
01779031000155,Comércio varejista de material elétrico,RS,ROSARIO DO SUL
08602512000130,Comércio varejista de vidros (Não dispensada *),SE,ARACAJU
05882337000193,Comércio varejista de artigos de papelaria (Não dispensada *),RO,GUAJARA-MIRIM
11305692000100,Comércio varejista de materiais de construção em geral,ES,SERRA
01587855000123,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",BA,FEIRA DE SANTANA
44132439000143,Comércio varejista de materiais de construção em geral,SP,SAO PAULO
02512414000478,Comércio varejista de combustíveis para veículos automotores,BA,IBOTIRAMA
11336485000105,Comércio varejista de combustíveis para veículos automotores,SP,RIBEIRAO PRETO
07018414000197,Comércio varejista de tintas e materiais para pintura (Não dispensada *),GO,CATALAO
07089629000280,Comércio varejista especializado de equipamentos de telefonia e comunicação,PI,PICOS
18381381000161,Sem descrição,"",""
84135938000109,Comércio atacadista de produtos alimentícios em geral,AM,FONTE BOA
38132296000177,Comércio varejista de combustíveis para veículos automotores,TO,ARAGUATINS
19171044000102,Sem descrição,MG,BELO HORIZONTE
16514084000111,"Lojas de variedades, exceto lojas de departamentos ou magazines",RJ,RIO DE JANEIRO
64687122000180,Comércio varejista de combustíveis para veículos automotores,SP,MAIRIPORA
08740327000101,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),RJ,NOVA IGUACU
03197033000161,Comércio a varejo de pneumáticos e câmaras-de-ar,MG,CURVELO
14635378000176,Reparação de jóias,MT,AGUA BOA
15709887000169,Reparação e manutenção de equipamentos de comunicação,RS,PORTO ALEGRE
14506784000139,Comércio varejista de artigos de papelaria,MT,CAMPO NOVO DO PARECIS
08588820000158,"Comércio a varejo de automóveis, camionetas e utilitários novos",SP,RIBEIRAO PRETO
00980113000109,Comércio varejista de combustíveis para veículos automotores,RN,NATAL
71764039000123,Comércio varejista de ferragens e ferramentas,SP,SAO PAULO
18088289000108,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",RJ,RIO DE JANEIRO
05434347000166,Comércio varejista de combustíveis para veículos automotores,SE,ITABAIANA
10384200000300,Comércio varejista de combustíveis para veículos automotores,RS,CRUZ ALTA
08109287000102,Comércio varejista de materiais de construção em geral (Não dispensada *),MA,COELHO NETO
19979810000160,Sem descrição,MA,BALSAS
07052742000290,Sem descrição,"",""
22188784000166,Comércio varejista de materiais de construção em geral,PE,RECIFE
15095285000169,Comércio varejista de materiais hidráulicos,MG,SALINAS
07626206000170,Sem descrição,"",""
11517841000430,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",PR,CIANORTE
05359884000199,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",PE,ARCOVERDE
05374546000126,Comércio varejista de combustíveis para veículos automotores,RJ,MACAE
11244018000155,Comércio varejista de carnes - açougues,MG,SETE LAGOAS
11887996000115,Sem descrição,"",""
05646473000184,Comércio varejista de equipamentos para escritório,MS,DOURADOS
16605122000141,Fotocópias,SP,SOROCABA
08924369000100,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),SC,CRICIUMA
07575651004499,Transporte aéreo de passageiros regular,RO,PORTO VELHO
15055121000108,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional",RJ,RIO DE JANEIRO
81230302000158,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,PR,GUAIRA
08598395000188,Fabricação de artefatos têxteis para uso doméstico (Não dispensada *),RS,NOVO HAMBURGO
82167412000185,Comércio a varejo de pneumáticos e câmaras-de-ar,SC,CONCORDIA
25141947000143,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,RJ,NOVA IGUACU
